Rank,Year,Name,Artist,Features,Size,Time,Group,Debut Year,State,Country
78,2006,Jesus Take The Wheel,Carrie Underwood,false,6246400,222,false,2005,Oklahoma,USA
79,2006,Show Stopper,Danity Kane,false,6430720,229,true,2005,New York,USA
80,2006,Get Up,Ciara,true,7225344,257,false,2002,Georgia,USA
81,2006,We Be Burnin ,Sean Paul,false,5836800,208,false,1996,n/a,Jamaica
82,2006,Hate Me,Blue October,false,10645504,380,true,1995,Texas,USA
83,2006,You And Me,Lifehouse,false,5484544,195,true,1999,California,USA
84,2006,Beep,The Pussycat Dolls,true,6402048,228,true,2003,California,USA
85,2006,I Think They Like me,Dem Franchize Boyz,true,7692288,274,true,2004,Georgia,USA
86,2006,Say Goodbye,Chris Brown,false,7901184,282,false,2005,Virginia,USA
87,2006,Waiting On The World To Change,John Mayer,false,5586944,199,false,1998,Connecticut,USA
88,2006,Soul Survivor,Young Jeezy,true,7811072,278,false,2001,South Carolina,USA
89,2006,Pump It,The Black Eyed Peas,false,6000640,214,true,1991,California,USA
90,2006,When I m Gone,Eminem,false,7811072,278,false,1992,Missouri,USA
91,2006,Hung Up,Madonna,false,5509120,196,false,1979,Michigan,USA
92,2006,Stay Fly,Three 6 Mafia,true,6684672,238,true,1991,Tennessee,USA
93,2006,Love,Keyshia Cole,false,7081984,252,false,2004,California,USA
94,2006,When You re Mad,Ne-Yo,false,6074368,216,false,1999,Arkansas,USA
95,2006,Why You Wanna,T.I.,false,6082560,217,false,2001,Georgia,USA
96,2006,Stupid Girls,Pink,false,5230592,186,false,2000,Pennsylvania,USA
97,2006,Feel Good Inc,Gorillaz,false,6221824,222,true,1998,n/a,England
98,2006,I m Sprung,T-Pain,false,6647808,237,false,2000,Florida,USA
99,2006,Do I Make You Proud,Taylor Hicks,false,6889472,245,false,1995,Alabama,USA
100,2006,For You I will (Confidence),Teddy Geiger,false,6340608,226,false,2005,New York,USA
1,2007,Fergalicious,Fergie,false,6303744,225,false,1984,California,USA
2,2007,Irreplaceable,Beyonce,false,6354944,226,false,1997,Texas,USA
3,2007,Smack,Akon,true,5941248,212,false,1996,Missouri,USA
4,2007,I Wanna Love You,Akon,true,6862848,245,false,1996,Missouri,USA
5,2007,Now To Save A Life,The Fray,false,7405568,264,true,2002,Colorado,USA
6,2007,Say It Right,Nelly Furtado,false,6146048,219,false,1996,n/a,Canada
7,2007,It Ends Tonight,The All-American Rejects,false,6815744,243,true,1999,Oklahoma,USA
8,2007,My Love,Justin Timberlake,true,7792640,278,false,1993,Tennessee,USA
9,2007,Lips Of An Angel,Hinder,false,7243776,258,true,2001,Oklahoma,USA
10,2007,Sexyback,Justin Timberlake,false,6758400,241,false,1993,Tennessee,USA
11,2007,We Fly High,Jim Jones,false,6699008,239,false,1997,New York,USA
12,2007,Shortie Like Mine,Bow Wow,false,6698762,239,false,1993,Ohio,USA
13,2007,Welcome To The Black Parade,My Chemical Romance,false,7723008,275,true,2001,New Jersey,USA
14,2007,Money Maker,Ludacris,true,6467584,230,false,1998,Illinois,USA
15,2007,Wind It Up,Gwen Stefani,false,5300224,189,false,1986,California,USA
16,2007,Walk Away (Remember Me),Paula DeAnda,true,7317504,261,false,2006,Texas,USA
17,2007,Far Away,Nickelback,false,6656000,237,true,1995,n/a,Canada
18,2007,Hurt,Christina Aguilera,false,6758400,241,false,1993,Pennsylvania,USA
19,2007,Chasing Cars,Snow Patrol,false,7417856,264,true,1994,n/a,Scotland
20,2007,White & Nerdy,Weird Al Yankovic,false,4780032,170,false,1976,California,USA
21,2007,Too Little Too Late,JoJo,false,6023168,215,false,1998,Vermont,USA
22,2007,Keep Holding On,Avril Lavigne,false,6711296,239,false,1998,n/a,Canada
23,2007,Before He Cheats,Carrie Underwood,false,5488640,195,false,2005,Oklahoma,USA
24,2007,Waiting On The World To Change,John Mayer,false,5593088,199,false,1998,Connecticut,USA
25,2007,London Brigde,Fergie,false,5820416,207,false,1984,California,USA
26,2007,Wait A Minute,The Pussycat Dolls,true,6207488,221,true,2003,California,USA
27,2007,What Goes Around,Justin Timberlake,false,12570624,448,false,1993,Tennessee,USA
28,2007,Walk It Out,Unk,false,4864000,173,false,2006,Georgia,USA
29,2007,Call Me When You re Sober,Evanescence,false,5955584,212,true,1995,Arkansas,USA
30,2007,Say Goodbye,Chris Brown,false,7907328,282,false,2005,Virginia,USA
31,2007,It s Not Over,Daughtry,false,6000640,214,true,2006,North Carolina,USA
32,2007,Do Ya Chain Hang Low,Young Jibbs,false,4217910,210,false,2006,Illinois,USA
33,2007,Show Stopper,Danity Kane,false,6434816,229,true,2005,New York,USA
34,2007,Runaway Love,Ludacris,true,7817216,279,false,1998,Illinois,USA
35,2007,Snow (Hey Oh),Red Hot Chili Peppers,false,9381888,334,true,1983,California,USA
36,2007,Here It Goes Again,Ok Go,false,5023744,179,true,1998,Illinois,USA
37,2007,Duddenly I See,KT Tunstall,false,5568512,198,false,2000,n/a,Scotland
38,2007,Money In The Bank,Lil Scrappy,true,6656128,237,false,2003,Georgia,USA
39,2007,Through Glass,Stone Sour,false,6752256,241,true,1992,Iowa,USA
40,2007,Maneater,Nelly Furtado,false,7245824,258,false,1996,n/a,Canada
41,2007,Here (In Your Arms),Hellogoodbye,false,6733824,240,true,2001,California,USA
42,2007,Make It Rain,Fat Joe,true,6825984,243,false,1992,New York,USA
43,2007,Tim Mcgraw,Taylor Swift,false,6500352,232,false,2006,Pennsylvania,USA
44,2007,I Luv It,Young Jeezy,false,6762496,241,false,2001,South Carolina,USA
